x_axis_emp_AHI,a_RLH2_habit_weight,b_RLH2_alpha_action,c_RLH2_alpha_P,d_RLH2_alpha_N,e_RLH2_posbias
2.88,0.9999916387920956,0.0442751309937433,0.5424428833324354,0.9361502607126148,-0.39370737738017936
4.25,0.7908401986768674,1.2405814820440033e-8,0.804879002294544,0.4868395410372641,0.3180394612572799
4.29,0.9999999999181548,1.2485935083991336e-8,0.5871108395719603,0.11853555212161228,0.46857528745034804
2.63,0.9417978416864712,0.0064121593361625,3.9670072909595155e-5,0.0499556538671139,-0.049915983794204304
2.96,0.999973935475319,0.0844851870510681,0.9973933249117544,0.38441438064295697,0.6129789442687974
4.17,0.999760928566372,0.04787024808376645,5.172650384293384e-5,0.10249203122509884,-0.10244030472125591
3.71,0.9445385758958846,0.15572788130166568,0.6705227218557508,2.5815025829213513e-8,0.670522696040725
4.13,0.7775330716821517,0.12841483723092187,0.284789645655726,0.428239505886315,-0.14344986023058898
1.63,0.9999513723424376,0.04650374124950364,9.85059068805778e-8,0.07613639713564832,-0.07613629862974144
3.04,0.9999516407544362,0.1463269465750295,0.8025307550090293,0.8404438102980561,-0.03791305528902689
3.04,0.9999999943366678,0.1574608109469065,0.7554331565437125,0.0289363879117572,0.7264967686319552
3.71,0.9999604813709404,0.08278185948626948,5.215425582207796e-9,0.07257842832826668,-0.0725784231128411
2.29,0.8014666113011383,0.0958826522794915,1.1010412083709086e-6,0.08660505404665844,-0.08660395300545007
3.58,0.6044880564172372,0.49912566368344746,0.0096218663946749,9.81059478245788e-8,0.009621768288727076
3.92,0.5231295614306286,0.34547076758344697,0.00636438904952377,0.1565967096891159,-0.15023232063959213
2.83,0.9999999978127008,2.389429366879439e-7,0.19227976655486825,0.7208388770882993,-0.5285591105334311
3,0.9992736448413172,0.02644218264361608,0.04708856489679809,0.4984282580278539,-0.4513396931310558
3.75,0.29302386632686833,0.47931233453503747,0.999985943301644,0.5174787557635696,0.4825071875380744
3.96,0.482355214241294,0.15188061698526772,1.207414037372929e-4,4.4969286527043193e-4,-3.2895146153313903e-4
3.83,0.9999006627020096,0.8912313413902293,2.635572609198557e-6,1.3853969302065e-4,-1.3590412041145146e-4
3.08,0.7443577007171281,0.6465567228497815,1.1977063899639353e-5,0.01431001723085593,-0.01429804016695629
1.79,0.9999799358027556,0.02060741657769189,0.04382909476467725,0.982717403350614,-0.9388883085859367
3.79,0.7805358958781554,0.06092712371982904,1.1399172963535277e-7,0.00354135375066231,-0.003541239758932675
2.79,0.6671896846711485,0.999153596253349,0.02099191233015733,0.04034529961517102,-0.01935338728501369
1.63,0.9999880948635708,7.46417520932938e-6,0.529899679347976,0.807945216169257,-0.27804553682128097
2.08,0.9998618962687404,0.16009862085813184,3.030392112727143e-6,0.0833532809743265,-0.08335025058221376
3.38,0.9999976126510014,0.06724301114496956,0.5770020222681708,0.7482430511606949,-0.17124102889252413
1.5,0.6172485849791176,0.330408801359047,0.0454515548800191,1.0520596759874444e-8,0.045451544359422336
2.96,0.9999999764246772,0.04769197612019775,0.3866340112609789,0.09620505936792234,0.29042895189305656
1.63,0.9826572066138078,0.0373607387110465,0.3810824944165784,0.14972545321006708,0.2313570412065113
2.42,0.06602389167686595,0.03216607245623784,0.4965271433626821,2.5012092427059106e-7,0.49652689324175786
4.04,0.9950320908475014,0.184135831324541,7.379357309767338e-4,0.03918453071284795,-0.03844659498187122
2.25,0.1421337089926215,0.4164002174286103,0.08409855151972875,0.00635330139396204,0.07774525012576672
2.58,0.33237260238578376,0.0668716955521736,0.9997318483658316,8.647473720499419e-5,0.9996453736286266
2.83,0.9994765106454616,9.533025224220818e-5,1.2354386540903138e-4,0.00155454312276103,-0.0014309992573519987
2.42,0.9999958010925212,0.4319620792758778,3.7867158635384983e-13,0.1629686498409713,-0.16296864984059264
2.63,0.9998791889807376,0.21631312867999836,0.24588565514535793,0.999796672967219,-0.7539110178218611
2.17,0.9944736331273388,0.11619045530771456,0.5104173647109282,0.0018712991175236,0.5085460655934047
3.04,0.7777704208800872,0.11724872058674889,0.1108406675917937,5.553385260475109e-4,0.11028532906574619
2.67,0.9998664415302164,0.00107622283870475,1.4519983301960127e-5,0.05452234043815368,-0.054507820454851724
3.42,0.13565490077825015,0.9733888523526107,7.60207334526515e-5,0.00718986891635985,-0.007113848182907199
4.13,0.9999758939699408,2.324520218396003e-6,0.6539905042084342,0.08921606312370264,0.5647744410847315
2.42,0.9545190121642484,0.03358742646428353,0.7393086634580072,0.9998697898591744,-0.26056112640116724
3.17,0.9337167212639604,0.45943928272725143,0.4896334609526341,0.03265194580122784,0.4569815151514063
2.33,0.25485976852589587,0.7317645911355166,0.9998443640742528,0.01262099281730284,0.9872233712569499
3.63,0.999347484380901,0.01391567561253455,0.8229298966075338,0.04108566223725316,0.7818442343702806
3.5,3.7294099963886573e-8,0.8044987526220677,0.13318410898752675,0.02001832906809535,0.1131657799194314
2.5,0.999716999063478,0.01477027284408485,1.6289582470678475e-4,0.38288053094346447,-0.38271763511875767
2.46,0.9986239791386968,0.06836657015293274,2.0634686678419457e-7,0.06108889495559115,-0.06108868860872437
2.71,0.5863177067985084,0.02548285449098637,1.0903806673399449e-5,0.02577636374478288,-0.025765459938109483
3.42,0.29990514786190947,0.4481173411121825,5.19383544048493e-5,0.02962672561761168,-0.02957478726320683
2.58,0.999902934346294,2.3966948616288683e-7,0.01400320060524528,0.6315269704394176,-0.6175237698341723
2.04,0.7516330759103563,0.31419988211441374,0.03888701711655454,0.07362083975898029,-0.03473382264242575
3.38,0.9997360035359534,0.01221609209178447,9.310316072654724e-6,0.1086120558109325,-0.10860274549485985
2.5,0.7094287789444473,0.21486944742370484,0.6389865612189428,0.00338315289507136,0.6356034083238714
3.25,0.2796155607548009,0.9977675774791276,0.0018368116493211,0.14578987767578563,-0.14395306602646454
3.92,0.999985836066166,0.5306347029951317,3.836742860486549e-7,0.00153163975325306,-0.0015312560789670113
3.79,0.999931112177572,3.7100902306945395e-8,0.2068469419417037,0.0504671285710029,0.15637981337070078
2.83,0.9943766511204336,2.144627413983879e-9,0.01276325004663789,0.210789316112254,-0.1980260660656161
